word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
ζωὴν,14,strong:G2222,G2222,packard:N1-ASF,N1-ASF,Noun,,,,,Singular,Accusative,Feminine,betacode:ZWH\N,ZWH\N
ἐν,14,strong:G1722,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
τοῖς,14,strong:G3588,G3588,packard:RA-DPN,RA-DPN,Article,,,,,Plural,Dative,Neuter,betacode:TOI=S,TOI=S
ἔργοις,14,strong:G2041,G2041,packard:N2N-DPN,N2N-DPN,Noun,,,,,Plural,Dative,Neuter,betacode:E)/RGOIS,E)/RGOIS
τοῖς,14,strong:G3588,G3588,packard:RA-DPN,RA-DPN,Article,,,,,Plural,Dative,Neuter,betacode:TOI=S,TOI=S
σκληροῖς,14,strong:G4642,G4642,packard:A1A-DPN,A1A-DPN,Adjective,,,,,Plural,Dative,Neuter,betacode:SKLHROI=S,SKLHROI=S
τῷ,14,strong:G3588,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
πηλῷ,14,strong:G4081,G4081,packard:N2-DSM,N2-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:PHLW=|,PHLW=|
καὶ,14,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
τῇ,14,strong:G3588,G3588,packard:RA-DSF,RA-DSF,Article,,,,,Singular,Dative,Feminine,betacode:TH=|,TH=|
πλινθείᾳ,14,,,packard:N1A-DSF,N1A-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:PLINQEI/A|,PLINQEI/A|
καὶ,14,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
πᾶσι,14,strong:G3956,G3956,packard:A3-DPN,A3-DPN,Adjective,,,,,Plural,Dative,Neuter,betacode:PA=SI,PA=SI
τοῖς,14,strong:G3588,G3588,packard:RA-DPN,RA-DPN,Article,,,,,Plural,Dative,Neuter,betacode:TOI=S,TOI=S
ἔργοις,14,strong:G2041,G2041,packard:N2N-DPN,N2N-DPN,Noun,,,,,Plural,Dative,Neuter,betacode:E)/RGOIS,E)/RGOIS
τοῖς,14,strong:G3588,G3588,packard:RA-DPN,RA-DPN,Article,,,,,Plural,Dative,Neuter,betacode:TOI=S,TOI=S
ἐν,14,strong:G1722,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
τοῖς,14,strong:G3588,G3588,packard:RA-DPN,RA-DPN,Article,,,,,Plural,Dative,Neuter,betacode:TOI=S,TOI=S
πεδίοις,14,,,packard:N2N-DPN,N2N-DPN,Noun,,,,,Plural,Dative,Neuter,betacode:PEDI/OIS,PEDI/OIS
κατὰ,14,strong:G2596,G2596,packard:P,P,Preposition,,,,,,,,betacode:KATA\,KATA\
πάντα,14,strong:G3956,G3956,packard:A3-APN,A3-APN,Adjective,,,,,Plural,Accusative,Neuter,betacode:PA/NTA,PA/NTA
τὰ,14,strong:G3588,G3588,packard:RA-APN,RA-APN,Article,,,,,Plural,Accusative,Neuter,betacode:TA\,TA\
ἔργα,14,strong:G2041,G2041,packard:N2N-APN,N2N-APN,Noun,,,,,Plural,Accusative,Neuter,betacode:E)/RGA,E)/RGA
ὧν,14,strong:G3739,G3739,packard:RR-GPN,RR-GPN,Relative Pronoun,,,,,Plural,Genitive,Neuter,betacode:W(=N,W(=N
κατεδουλοῦντο,14,,,packard:V4I-IMI3P,V4I-IMI3P,Verb,Imperfect,Middle,Indicative,3,Plural,,,betacode:KATEDOULOU=NTO,KATEDOULOU=NTO
αὐτοὺς,14,strong:G846,G846,packard:RD-APM,RD-APM,Demonstrative Pronoun,,,,,Plural,Accusative,Masculine,betacode:AU)TOU\S,AU)TOU\S
μετὰ,14,strong:G3326,G3326,packard:P,P,Preposition,,,,,,,,betacode:META\,META\
βίας,14,strong:G970,G970,packard:N1A-GSF,N1A-GSF,Noun,,,,,Singular,Genitive,Feminine,betacode:BI/AS,BI/AS
καὶ,15,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
εἶπεν,15,strong:G2036,G2036,packard:VBI-AAI3S,VBI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:EI)=PEN,EI)=PEN
ὁ,15,strong:G3588,G3588,packard:RA-NSM,RA-NSM,Article,,,,,Singular,Nominative,Masculine,betacode:O(,O(
βασιλεὺς,15,strong:G935,G935,packard:N3V-NSM,N3V-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:BASILEU\S,BASILEU\S
τῶν,15,strong:G3588,G3588,packard:RA-GPM,RA-GPM,Article,,,,,Plural,Genitive,Masculine,betacode:TW=N,TW=N
Αἰγυπτίων,15,strong:G124,G124,packard:N2-GPM,N2-GPM,Noun,,,,,Plural,Genitive,Masculine,betacode:*AI)GUPTI/WN,*AI)GUPTI/WN
ταῖς,15,strong:G3588,G3588,packard:RA-DPF,RA-DPF,Article,,,,,Plural,Dative,Feminine,betacode:TAI=S,TAI=S
μαίαις,15,,,packard:N1A-DPF,N1A-DPF,Noun,,,,,Plural,Dative,Feminine,betacode:MAI/AIS,MAI/AIS
τῶν,15,strong:G3588,G3588,packard:RA-GPM,RA-GPM,Article,,,,,Plural,Genitive,Masculine,betacode:TW=N,TW=N
Εβραίων,15,,,packard:N2-GPM,N2-GPM,Noun,,,,,Plural,Genitive,Masculine,betacode:*EBRAI/WN,*EBRAI/WN
τῇ,15,strong:G3588,G3588,packard:RA-DSF,RA-DSF,Article,,,,,Singular,Dative,Feminine,betacode:TH=|,TH=|
μιᾷ,15,strong:G1520,G1520,packard:A1A-DSF,A1A-DSF,Adjective,,,,,Singular,Dative,Feminine,betacode:MIA=|,MIA=|
αὐτῶν,15,strong:G846,G846,packard:RD-GPM,RD-GPM,Demonstrative Pronoun,,,,,Plural,Genitive,Masculine,betacode:AU)TW=N,AU)TW=N
ᾗ,15,strong:G3739,G3739,packard:RR-DSF,RR-DSF,Relative Pronoun,,,,,Singular,Dative,Feminine,betacode:H(=|,H(=|
ὄνομα,15,strong:G3686,G3686,packard:N3M-NSN,N3M-NSN,Noun,,,,,Singular,Nominative,Neuter,betacode:O)/NOMA,O)/NOMA
Σεπφωρα,15,,,packard:N-NSF,N-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:*SEPFWRA,*SEPFWRA
καὶ,15,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
τὸ,15,strong:G3588,G3588,packard:RA-NSN,RA-NSN,Article,,,,,Singular,Nominative,Neuter,betacode:TO\,TO\
ὄνομα,15,strong:G3686,G3686,packard:N3M-NSN,N3M-NSN,Noun,,,,,Singular,Nominative,Neuter,betacode:O)/NOMA,O)/NOMA
τῆς,15,strong:G3588,G3588,packard:RA-GSF,RA-GSF,Article,,,,,Singular,Genitive,Feminine,betacode:TH=S,TH=S
δευτέρας,15,strong:G1208,G1208,packard:A1A-GSF,A1A-GSF,Adjective,,,,,Singular,Genitive,Feminine,betacode:DEUTE/RAS,DEUTE/RAS
Φουα,15,,,packard:N-NSF,N-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:*FOUA,*FOUA
καὶ,16,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
εἶπεν,16,strong:G2036,G2036,packard:VBI-AAI3S,VBI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:EI)=PEN,EI)=PEN
ὅταν,16,strong:G3752,G3752,packard:D,D,Adverb,,,,,,,,betacode:O(/TAN,O(/TAN
μαιοῦσθε,16,,,packard:V4-PAI2P,V4-PAI2P,Verb,Present,Active,Indicative,2,Plural,,,betacode:MAIOU=SQE,MAIOU=SQE
τὰς,16,strong:G3588,G3588,packard:RA-APF,RA-APF,Article,,,,,Plural,Accusative,Feminine,betacode:TA\S,TA\S
Εβραίας,16,,,packard:N1A-APF,N1A-APF,Noun,,,,,Plural,Accusative,Feminine,betacode:*EBRAI/AS,*EBRAI/AS
καὶ,16,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ὦσιν,16,strong:G1510,G1510,packard:V9-PAS3P,V9-PAS3P,Verb,Present,Active,Subjunctive,3,Plural,,,betacode:W)=SIN,W)=SIN
πρὸς,16,strong:G4314,G4314,packard:P,P,Preposition,,,,,,,,betacode:PRO\S,PRO\S
τῷ,16,strong:G3588,G3588,packard:RA-DSN,RA-DSN,Article,,,,,Singular,Dative,Neuter,betacode:TW=|,TW=|
τίκτειν,16,strong:G5088,G5088,packard:V1-PAN,V1-PAN,Verb,Present,Active,Infinitive,,,,,betacode:TI/KTEIN,TI/KTEIN
ἐὰν,16,strong:G1437,G1437,packard:C,C,Conjunction,,,,,,,,betacode:E)A\N,E)A\N
μὲν,16,strong:G3303,G3303,packard:X,X,Particle,,,,,,,,betacode:ME\N,ME\N
ἄρσεν,16,,,packard:A3-NSN,A3-NSN,Adjective,,,,,Singular,Nominative,Neuter,betacode:A)/RSEN,A)/RSEN
ᾖ,16,strong:G1510,G1510,packard:V9-PAS3S,V9-PAS3S,Verb,Present,Active,Subjunctive,3,Singular,,,betacode:H)=|,H)=|
ἀποκτείνατε,16,,,packard:VA-AAD2P,VA-AAD2P,Verb,Aorist,Active,Imperative,2,Plural,,,betacode:A)POKTEI/NATE,A)POKTEI/NATE
αὐτό,16,strong:G846,G846,packard:RD-ASN,RD-ASN,Demonstrative Pronoun,,,,,Singular,Accusative,Neuter,betacode:AU)TO/,AU)TO/
ἐὰν,16,strong:G1437,G1437,packard:C,C,Conjunction,,,,,,,,betacode:E)A\N,E)A\N
δὲ,16,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
θῆλυ,16,strong:G2338,G2338,packard:A3U-NSN,A3U-NSN,Adjective,,,,,Singular,Nominative,Neuter,betacode:QH=LU,QH=LU
περιποιεῖσθε,16,,,packard:V2-PMD2P,V2-PMD2P,Verb,Present,Middle,Imperative,2,Plural,,,betacode:PERIPOIEI=SQE,PERIPOIEI=SQE
αὐτό,16,strong:G846,G846,packard:RD-ASN,RD-ASN,Demonstrative Pronoun,,,,,Singular,Accusative,Neuter,betacode:AU)TO/,AU)TO/
ἐφοβήθησαν,17,strong:G5399,G5399,packard:VCI-API3P,VCI-API3P,Verb,Aorist,Passive,Indicative,3,Plural,,,betacode:E)FOBH/QHSAN,E)FOBH/QHSAN
δὲ,17,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
αἱ,17,strong:G3588,G3588,packard:RA-NPF,RA-NPF,Article,,,,,Plural,Nominative,Feminine,betacode:AI(,AI(
μαῖαι,17,,,packard:N1A-NPF,N1A-NPF,Noun,,,,,Plural,Nominative,Feminine,betacode:MAI=AI,MAI=AI
τὸν,17,strong:G3588,G3588,packard:RA-ASM,RA-ASM,Article,,,,,Singular,Accusative,Masculine,betacode:TO\N,TO\N
θεὸν,17,strong:G2316,G2316,packard:N2-ASM,N2-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:QEO\N,QEO\N
καὶ,17,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
οὐκ,17,strong:G3756,G3756,packard:D,D,Adverb,,,,,,,,betacode:OU)K,OU)K
ἐποίησαν,17,strong:G4160,G4160,packard:VAI-AAI3P,VAI-AAI3P,Verb,Aorist,Active,Indicative,3,Plural,,,betacode:E)POI/HSAN,E)POI/HSAN
καθότι,17,strong:G2530,G2530,packard:D,D,Adverb,,,,,,,,betacode:KAQO/TI,KAQO/TI
συνέταξεν,17,,,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:SUNE/TACEN,SUNE/TACEN
αὐταῖς,17,strong:G846,G846,packard:RD-DPF,RD-DPF,Demonstrative Pronoun,,,,,Plural,Dative,Feminine,betacode:AU)TAI=S,AU)TAI=S
ὁ,17,strong:G3588,G3588,packard:RA-NSM,RA-NSM,Article,,,,,Singular,Nominative,Masculine,betacode:O(,O(
βασιλεὺς,17,strong:G935,G935,packard:N3V-NSM,N3V-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:BASILEU\S,BASILEU\S
Αἰγύπτου,17,strong:G125,G125,packard:N2-GSF,N2-GSF,Noun,,,,,Singular,Genitive,Feminine,betacode:*AI)GU/PTOU,*AI)GU/PTOU
καὶ,17,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἐζωογόνουν,17,strong:G2225,G2225,packard:V2I-IAI3P,V2I-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:E)ZWOGO/NOUN,E)ZWOGO/NOUN
τὰ,17,strong:G3588,G3588,packard:RA-APN,RA-APN,Article,,,,,Plural,Accusative,Neuter,betacode:TA\,TA\
ἄρσενα,17,,,packard:A3-APN,A3-APN,Adjective,,,,,Plural,Accusative,Neuter,betacode:A)/RSENA,A)/RSENA
ἐκάλεσεν,18,strong:G2564,G2564,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:E)KA/LESEN,E)KA/LESEN
δὲ,18,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
ὁ,18,strong:G3588,G3588,packard:RA-NSM,RA-NSM,Article,,,,,Singular,Nominative,Masculine,betacode:O(,O(
βασιλεὺς,18,strong:G935,G935,packard:N3V-NSM,N3V-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:BASILEU\S,BASILEU\S
Αἰγύπτου,18,strong:G125,G125,packard:N2-GSF,N2-GSF,Noun,,,,,Singular,Genitive,Feminine,betacode:*AI)GU/PTOU,*AI)GU/PTOU
τὰς,18,strong:G3588,G3588,packard:RA-APF,RA-APF,Article,,,,,Plural,Accusative,Feminine,betacode:TA\S,TA\S
μαίας,18,,,packard:N1A-APF,N1A-APF,Noun,,,,,Plural,Accusative,Feminine,betacode:MAI/AS,MAI/AS
καὶ,18,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
εἶπεν,18,,,packard:VBI-AAI3S,VBI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:EI)=PEN,EI)=PEN
αὐταῖς,18,strong:G846,G846,packard:RD-DPF,RD-DPF,Demonstrative Pronoun,,,,,Plural,Dative,Feminine,betacode:AU)TAI=S,AU)TAI=S
τί,18,strong:G5101,G5101,packard:RI-ASN,RI-ASN,Interrogative/Indefinite Pronoun,,,,,Singular,Accusative,Neuter,betacode:TI/,TI/
ὅτι,18,strong:G3754,G3754,packard:C,C,Conjunction,,,,,,,,betacode:O(/TI,O(/TI
ἐποιήσατε,18,strong:G4160,G4160,packard:VAI-AAI2P,VAI-AAI2P,Verb,Aorist,Active,Indicative,2,Plural,,,betacode:E)POIH/SATE,E)POIH/SATE
τὸ,18,strong:G3588,G3588,packard:RA-ASN,RA-ASN,Article,,,,,Singular,Accusative,Neuter,betacode:TO\,TO\
πρᾶγμα,18,strong:G4229,G4229,packard:N3M-ASN,N3M-ASN,Noun,,,,,Singular,Accusative,Neuter,betacode:PRA=GMA,PRA=GMA
τοῦτο,18,strong:G3778,G3778,packard:RD-ASN,RD-ASN,Demonstrative Pronoun,,,,,Singular,Accusative,Neuter,betacode:TOU=TO,TOU=TO
καὶ,18,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἐζωογονεῖτε,18,strong:G2225,G2225,packard:V2I-IAI2P,V2I-IAI2P,Verb,Imperfect,Active,Indicative,2,Plural,,,betacode:E)ZWOGONEI=TE,E)ZWOGONEI=TE
τὰ,18,strong:G3588,G3588,packard:RA-APN,RA-APN,Article,,,,,Plural,Accusative,Neuter,betacode:TA\,TA\
ἄρσενα,18,,,packard:A3-APN,A3-APN,Adjective,,,,,Plural,Accusative,Neuter,betacode:A)/RSENA,A)/RSENA
εἶπαν,19,strong:G2036,G2036,packard:VAI-AAI3P,VAI-AAI3P,Verb,Aorist,Active,Indicative,3,Plural,,,betacode:EI)=PAN,EI)=PAN
δὲ,19,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
αἱ,19,strong:G3588,G3588,packard:RA-NPF,RA-NPF,Article,,,,,Plural,Nominative,Feminine,betacode:AI(,AI(
μαῖαι,19,,,packard:N1A-NPF,N1A-NPF,Noun,,,,,Plural,Nominative,Feminine,betacode:MAI=AI,MAI=AI
τῷ,19,strong:G3588,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
Φαραω,19,strong:G5328,G5328,packard:N-DSM,N-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:*FARAW,*FARAW
οὐχ,19,strong:G3756,G3756,packard:D,D,Adverb,,,,,,,,betacode:OU)X,OU)X
ὡς,19,strong:G5613,G5613,packard:C,C,Conjunction,,,,,,,,betacode:W(S,W(S
γυναῖκες,19,strong:G1135,G1135,packard:N3K-NPF,N3K-NPF,Noun,,,,,Plural,Nominative,Feminine,betacode:GUNAI=KES,GUNAI=KES
Αἰγύπτου,19,strong:G125,G125,packard:N2-GSF,N2-GSF,Noun,,,,,Singular,Genitive,Feminine,betacode:*AI)GU/PTOU,*AI)GU/PTOU
αἱ,19,strong:G3588,G3588,packard:RA-NPF,RA-NPF,Article,,,,,Plural,Nominative,Feminine,betacode:AI(,AI(
Εβραῖαι,19,,,packard:N1A-NPF,N1A-NPF,Noun,,,,,Plural,Nominative,Feminine,betacode:*EBRAI=AI,*EBRAI=AI
τίκτουσιν,19,strong:G5088,G5088,packard:V1-PAI3P,V1-PAI3P,Verb,Present,Active,Indicative,3,Plural,,,betacode:TI/KTOUSIN,TI/KTOUSIN
γὰρ,19,strong:G1063,G1063,packard:X,X,Particle,,,,,,,,betacode:GA\R,GA\R
πρὶν,19,strong:G4250,G4250,packard:D,D,Adverb,,,,,,,,betacode:PRI\N,PRI\N
ἢ,19,strong:G2228,G2228,packard:C,C,Conjunction,,,,,,,,betacode:H)\,H)\
εἰσελθεῖν,19,,,packard:VB-AAN,VB-AAN,Verb,Aorist,Active,Infinitive,,,,,betacode:EI)SELQEI=N,EI)SELQEI=N
πρὸς,19,strong:G4314,G4314,packard:P,P,Preposition,,,,,,,,betacode:PRO\S,PRO\S
αὐτὰς,19,strong:G846,G846,packard:RD-APF,RD-APF,Demonstrative Pronoun,,,,,Plural,Accusative,Feminine,betacode:AU)TA\S,AU)TA\S
τὰς,19,strong:G3588,G3588,packard:RA-APF,RA-APF,Article,,,,,Plural,Accusative,Feminine,betacode:TA\S,TA\S
μαίας,19,,,packard:N1A-APF,N1A-APF,Noun,,,,,Plural,Accusative,Feminine,betacode:MAI/AS,MAI/AS
καὶ,19,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἔτικτον,19,strong:G5088,G5088,packard:V1I-IAI3P,V1I-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:E)/TIKTON,E)/TIKTON
εὖ,20,strong:G2095,G2095,packard:D,D,Adverb,,,,,,,,betacode:EU)=,EU)=
δὲ,20,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
ἐποίει,20,strong:G4160,G4160,packard:V2I-IAI3S,V2I-IAI3S,Verb,Imperfect,Active,Indicative,3,Singular,,,betacode:E)POI/EI,E)POI/EI
ὁ,20,strong:G3588,G3588,packard:RA-NSM,RA-NSM,Article,,,,,Singular,Nominative,Masculine,betacode:O(,O(
θεὸς,20,strong:G2316,G2316,packard:N2-NSM,N2-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:QEO\S,QEO\S
ταῖς,20,strong:G3588,G3588,packard:RA-DPF,RA-DPF,Article,,,,,Plural,Dative,Feminine,betacode:TAI=S,TAI=S
μαίαις,20,,,packard:N1A-DPF,N1A-DPF,Noun,,,,,Plural,Dative,Feminine,betacode:MAI/AIS,MAI/AIS
καὶ,20,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἐπλήθυνεν,20,strong:G4129,G4129,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:E)PLH/QUNEN,E)PLH/QUNEN
ὁ,20,strong:G3588,G3588,packard:RA-NSM,RA-NSM,Article,,,,,Singular,Nominative,Masculine,betacode:O(,O(
λαὸς,20,strong:G2992,G2992,packard:N2-NSM,N2-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:LAO\S,LAO\S
καὶ,20,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἴσχυεν,20,strong:G2480,G2480,packard:V1I-IAI3S,V1I-IAI3S,Verb,Imperfect,Active,Indicative,3,Singular,,,betacode:I)/SXUEN,I)/SXUEN
σφόδρα,20,strong:G4970,G4970,packard:D,D,Adverb,,,,,,,,betacode:SFO/DRA,SFO/DRA
ἐπειδὴ,21,strong:G1894,G1894,packard:C,C,Conjunction,,,,,,,,betacode:E)PEIDH\,E)PEIDH\
ἐφοβοῦντο,21,strong:G5399,G5399,packard:V2I-IMI3P,V2I-IMI3P,Verb,Imperfect,Middle,Indicative,3,Plural,,,betacode:E)FOBOU=NTO,E)FOBOU=NTO
αἱ,21,strong:G3588,G3588,packard:RA-NPF,RA-NPF,Article,,,,,Plural,Nominative,Feminine,betacode:AI(,AI(
μαῖαι,21,,,packard:N1A-NPF,N1A-NPF,Noun,,,,,Plural,Nominative,Feminine,betacode:MAI=AI,MAI=AI
τὸν,21,strong:G3588,G3588,packard:RA-ASM,RA-ASM,Article,,,,,Singular,Accusative,Masculine,betacode:TO\N,TO\N
θεόν,21,strong:G2316,G2316,packard:N2-ASM,N2-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:QEO/N,QEO/N
ἐποίησαν,21,strong:G4160,G4160,packard:VAI-AAI3P,VAI-AAI3P,Verb,Aorist,Active,Indicative,3,Plural,,,betacode:E)POI/HSAN,E)POI/HSAN
ἑαυταῖς,21,strong:G1438,G1438,packard:RD-DPF,RD-DPF,Demonstrative Pronoun,,,,,Plural,Dative,Feminine,betacode:E(AUTAI=S,E(AUTAI=S
οἰκίας,21,strong:G3614,G3614,packard:N1A-APF,N1A-APF,Noun,,,,,Plural,Accusative,Feminine,betacode:OI)KI/AS,OI)KI/AS
συνέταξεν,22,strong:G4929,G4929,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:SUNE/TACEN,SUNE/TACEN
δὲ,22,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
Φαραω,22,strong:G5328,G5328,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*FARAW,*FARAW
παντὶ,22,strong:G3839,G3839,packard:A3-DSM,A3-DSM,Adjective,,,,,Singular,Dative,Masculine,betacode:PANTI\,PANTI\
τῷ,22,strong:G3588,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
λαῷ,22,strong:G2992,G2992,packard:N2-DSM,N2-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:LAW=|,LAW=|
αὐτοῦ,22,strong:G846,G846,packard:RD-GSM,RD-GSM,Demonstrative Pronoun,,,,,Singular,Genitive,Masculine,betacode:AU)TOU=,AU)TOU=
λέγων,22,strong:G3004,G3004,packard:V1-PAPNSM,V1-PAPNSM,Verb,Present,Active,Participle,,Singular,Nominative,Masculine,betacode:LE/GWN,LE/GWN
πᾶν,22,strong:G3956,G3956,packard:A3-NSM,A3-NSM,Adjective,,,,,Singular,Nominative,Masculine,betacode:PA=N,PA=N
ἄρσεν,22,strong:G730,G730,packard:A3-ASN,A3-ASN,Adjective,,,,,Singular,Accusative,Neuter,betacode:A)/RSEN,A)/RSEN
ὃ,22,strong:G3588,G3588,packard:RR-NSN,RR-NSN,Relative Pronoun,,,,,Singular,Nominative,Neuter,betacode:O(\,O(\
ἐὰν,22,strong:G1437,G1437,packard:C,C,Conjunction,,,,,,,,betacode:E)A\N,E)A\N
τεχθῇ,22,strong:G5088,G5088,packard:VQ-APS3S,VQ-APS3S,Verb,Aorist,Passive,Subjunctive,3,Singular,,,betacode:TEXQH=|,TEXQH=|
τοῖς,22,strong:G3588,G3588,packard:RA-DPM,RA-DPM,Article,,,,,Plural,Dative,Masculine,betacode:TOI=S,TOI=S
Εβραίοις,22,,,packard:N2-DPM,N2-DPM,Noun,,,,,Plural,Dative,Masculine,betacode:*EBRAI/OIS,*EBRAI/OIS
εἰς,22,strong:G1519,G1519,packard:P,P,Preposition,,,,,,,,betacode:EI)S,EI)S
τὸν,22,strong:G3588,G3588,packard:RA-ASM,RA-ASM,Article,,,,,Singular,Accusative,Masculine,betacode:TO\N,TO\N
ποταμὸν,22,strong:G4215,G4215,packard:N2-ASM,N2-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:POTAMO\N,POTAMO\N
ῥίψατε,22,strong:G4496,G4496,packard:VA-AAD2P,VA-AAD2P,Verb,Aorist,Active,Imperative,2,Plural,,,betacode:R(I/YATE,R(I/YATE
καὶ,22,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
πᾶν,22,strong:G3956,G3956,packard:A3-ASN,A3-ASN,Adjective,,,,,Singular,Accusative,Neuter,betacode:PA=N,PA=N
θῆλυ,22,strong:G2338,G2338,packard:A3U-ASN,A3U-ASN,Adjective,,,,,Singular,Accusative,Neuter,betacode:QH=LU,QH=LU
ζωογονεῖτε,22,strong:G2225,G2225,packard:V2-PAI2P,V2-PAI2P,Verb,Present,Active,Indicative,2,Plural,,,betacode:ZWOGONEI=TE,ZWOGONEI=TE
αὐτό,22,strong:G846,G846,packard:RD-ASN,RD-ASN,Demonstrative Pronoun,,,,,Singular,Accusative,Neuter,betacode:AU)TO/,AU)TO/
